User_id,Merchant_id,Date_received,Probability
4129537,450,2016-07-12,0.0
6949378,1300,2016-07-06,2e-06
2166529,7113,2016-07-27,2e-05
2166529,7113,2016-07-27,2.9e-05
6172162,7605,2016-07-08,6e-06
4005121,450,2016-07-06,0.0
4347394,450,2016-07-16,0.0
3094273,760,2016-07-27,1e-06
5139970,450,2016-07-29,4e-06
3237121,760,2016-07-03,0.0
6224386,450,2016-07-16,0.0
6488578,760,2016-07-12,5.4e-05
4164865,450,2016-07-03,0.0
4164865,5138,2016-07-06,0.0
5468674,450,2016-07-13,2e-06
6258178,7024,2016-07-06,2e-06
3659521,6000,2016-07-27,0.0
3659521,2436,2016-07-17,1e-06
3659521,760,2016-07-18,2e-06
7333378,760,2016-07-04,1e-06
7333378,6901,2016-07-27,1e-06
4454914,3621,2016-07-11,0.0
6817282,6362,2016-07-24,0.0
3149569,5717,2016-07-21,3e-06
6301186,8318,2016-07-18,1e-06
6301186,2199,2016-07-08,0.0
2891521,760,2016-07-24,2e-06
3422977,760,2016-07-27,2e-06
4771330,760,2016-07-26,4e-06
4513282,1469,2016-07-12,1e-06
3439873,760,2016-07-13,1e-06
6632962,760,2016-07-27,1e-06
6632962,2050,2016-07-05,0.0
6912514,3251,2016-07-24,1e-06
2821891,5717,2016-07-02,0.0
3872515,5717,2016-07-04,0.0
3872515,3621,2016-07-04,0.0
2699011,760,2016-07-05,2.2e-05
5406214,6288,2016-07-22,0.0
5406214,6288,2016-07-22,0.0
3359491,5717,2016-07-25,6e-06
4147459,2622,2016-07-15,2e-06
5427718,5084,2016-07-04,1e-06
5427718,5084,2016-07-04,1e-06
5427718,5084,2016-07-04,1e-06
2848003,760,2016-07-02,0.0
2726659,1541,2016-07-24,0.000877
3649795,3621,2016-07-23,1e-06
3649795,5717,2016-07-01,1e-06
2612995,450,2016-07-03,0.0
3808003,450,2016-07-21,1e-06
3812611,2436,2016-07-21,1.5e-05
3425539,2436,2016-07-19,8e-06
6853126,2436,2016-07-21,3e-06
4251142,2436,2016-07-07,0.0
3442435,760,2016-07-13,1e-06
3182851,2233,2016-07-31,0.0
7175686,4232,2016-07-06,6e-06
7175686,450,2016-07-17,0.0
3199747,5138,2016-07-12,0.0
3199747,1300,2016-07-18,1e-06
6140422,398,2016-07-28,0.0
4001029,760,2016-07-04,0.0
3873541,3621,2016-07-18,1e-06
4603402,6905,2016-07-23,1e-06
6443530,760,2016-07-22,9e-06
3627781,5717,2016-07-13,2e-06
4913674,5138,2016-07-12,0.0
3506437,760,2016-07-19,4e-06
2196229,84,2016-07-17,9e-06
2329861,6473,2016-07-24,2e-06
3514117,2423,2016-07-06,0.0
5733898,7307,2016-07-05,1e-06
2480389,3621,2016-07-03,9e-06
3928837,7717,2016-07-22,1e-06
3017989,760,2016-07-30,0.0
3017989,450,2016-07-04,0.0
5776906,760,2016-07-06,2e-06
6332938,760,2016-07-24,0.0
5568010,2987,2016-07-22,2e-06
5568010,2987,2016-07-22,2e-06
2398981,760,2016-07-22,1e-06
3208453,5717,2016-07-13,1e-06
